area_code,gss_code
mz_1321,E09000017
mz_1322,E09000017
mz_590,E09000017
mz_1343,E09000017
mz_1311,E09000017
mz_604,E09000017
mz_589,E09000017
mz_594,E09000017
mz_1122,E09000018
mz_1124,E09000018
mz_1697,E09000018
mz_1693,E09000018
mz_1109,E09000018
mz_1108,E09000018
mz_585,E09000018
mz_586,E09000018
mz_1121,E09000018
mz_1118,E09000018
mz_1123,E09000018
mz_1128,E09000018
mz_1125,E09000018
mz_1126,E09000018
mz_1127,E09000018
mz_1120,E09000018
mz_1116,E09000018
mz_1114,E09000018
mz_1119,E09000018
mz_1113,E09000018
mz_1110,E09000018
mz_1111,E09000018
mz_1115,E09000018
mz_583,E09000018
mz_1117,E09000018
mz_1441,E09000018
mz_584,E09000018
mz_1112,E09000018
mz_1440,E09000018
mz_1107,E09000018
mz_820,E09000019
mz_1355,E09000019
mz_1582,E09000019
mz_1354,E09000019
mz_821,E09000019
mz_819,E09000019
mz_1642,E09000019
mz_1568,E09000019
mz_1368,E09000019
mz_1537,E09000019
mz_948,E09000019
mz_944,E09000019
mz_943,E09000019
mz_1536,E09000019
mz_1535,E09000019
mz_1285,E09000019
mz_823,E09000019
mz_1370,E09000019
mz_946,E09000019
mz_945,E09000019
mz_1287,E09000019
mz_1286,E09000019
mz_947,E09000019
mz_1357,E09000019
mz_1356,E09000019
mz_942,E09000019
mz_928,E09000020
mz_833,E09000020
mz_837,E09000020
mz_451,E09000020
mz_449,E09000020
mz_1297,E09000020
mz_1298,E09000020
mz_926,E09000020
mz_1004,E09000020
mz_835,E09000020
mz_834,E09000020
mz_1007,E09000020
mz_1008,E09000020
mz_450,E09000020
mz_927,E09000020
mz_836,E09000020
mz_1006,E09000020
mz_1296,E09000020
mz_1255,E09000021
mz_1254,E09000021
mz_1260,E09000021
mz_537,E09000021
mz_1249,E09000021
mz_1250,E09000021
mz_1257,E09000021
mz_1258,E09000021
mz_540,E09000021
mz_1247,E09000021
mz_1251,E09000021
mz_536,E09000021
mz_539,E09000021
mz_538,E09000021
mz_1253,E09000021
mz_1259,E09000021
mz_1256,E09000021
mz_1248,E09000021
mz_1586,E09000022
mz_1588,E09000022
mz_891,E09000022
mz_895,E09000022
mz_841,E09000022
mz_1295,E09000022
mz_1293,E09000022
mz_893,E09000022
mz_889,E09000022
mz_1294,E09000022
mz_1426,E09000022
mz_843,E09000022
mz_842,E09000022
mz_894,E09000022
mz_434,E09000022
mz_840,E09000022
mz_900,E09000022
mz_899,E09000022
mz_901,E09000022
mz_890,E09000022
mz_1427,E09000022
mz_888,E09000022
mz_1292,E09000022
mz_1423,E09000022
mz_1680,E09000022
mz_1585,E09000022
mz_436,E09000022
mz_887,E09000022
mz_435,E09000022
mz_898,E09000022
mz_896,E09000022
mz_903,E09000022
mz_902,E09000022
mz_904,E09000022
mz_738,E09000022
mz_897,E09000022
mz_892,E09000022
mz_1424,E09000022
mz_1425,E09000022
mz_988,E09000023
mz_849,E09000023
mz_848,E09000023
mz_981,E09000023
mz_1416,E09000023
mz_1417,E09000023
mz_1406,E09000023
mz_987,E09000023
mz_989,E09000023
mz_881,E09000023
mz_1520,E09000023
mz_1304,E09000023
mz_1410,E09000023
mz_432,E09000023
mz_847,E09000023
mz_985,E09000023
mz_982,E09000023
mz_984,E09000023
mz_846,E09000023
mz_983,E09000023
mz_883,E09000023
mz_844,E09000023
mz_1412,E09000023
